Species BUSCO
Oscillatoria_acuminata 0.0
Gloeomargarita_lithophora 0.0
Fischerella_thermalis 0.0
Trichormus_azollae 0.0
Nostoc_punctiforme 0.0
Coccomyxa_subellipsoidea 97.5
Chlorella_variabilis 95.5
Chlamydomonas_reinhardtii 99.2
Ulva_mutabilis 88.3
Ostreococcus_lucimarinus 98.8
Micromonas_pusilla 98.7
Mesostigma_viride 64.3
Chlorokybus_atmophyticus 88.8
Klebsomidium_nitens 94.1
Chara_braunii 83.7
Mesotaenium_endlicherianum 79.6
Spirogloeae_muscicola 85.6
Penium_margaritaceum 85.6
Anthoceros_punctatus 90.8
Anthoceros_agrestis 87.1
Marchantia_polymorpha 93.6
Physcomitrella_patens 93.9
Sphagnum_fallax 94.6
Selaginella_moellendorffii 90.0
Azolla_filiculoides 87.9
Picea_abies 58.1
Gnetum_montanum 91.2
Amborella_trichopoda 89.9
Brachypodium_distachyon 92.1
Oryza_sativa 90.5
Lotus_japonicus 92.6
Pisum_sativum 90.8
Medicago_truncatula 92.2
Brassica_rapa 91.4
Arabidopsis_lyrata 91.8
Arabidopsis_thaliana 92.3
Spinacia_oleracea 92.0
