Orthogroup,Tracheophyte,Bryophyte,Streptophyte_algae,Chlorophyte_algae,Cyanobacteria
OG0000000,1,1,1,1,0
OG0000001,1,1,1,1,0
OG0000002,1,1,1,1,0
OG0000003,1,1,1,1,0
OG0000004,1,1,1,1,0
OG0000005,1,1,1,0,0
OG0000006,1,1,1,0,1
OG0000007,1,1,1,1,1
OG0000008,1,1,1,1,1
OG0000009,1,1,1,1,1
OG0000010,1,1,1,1,1
OG0000011,1,1,1,1,0
OG0000012,1,1,1,0,1
OG0000013,1,1,1,1,1
OG0000014,1,1,1,0,0
OG0000015,1,1,1,1,0
OG0000016,1,1,1,1,1
OG0000017,1,1,1,1,0
OG0000018,1,1,1,1,1
OG0000019,1,1,1,1,0
OG0000020,1,1,1,1,1
OG0000021,1,1,1,1,1
OG0000022,1,1,1,1,0
OG0000023,1,1,1,1,1
OG0000024,1,1,1,1,1
OG0000025,1,1,1,1,0
OG0000026,1,1,1,0,0
OG0000027,1,1,1,1,1
OG0000028,1,1,1,1,0
OG0000029,1,1,1,1,1
OG0000030,1,1,1,1,1
OG0000031,1,1,1,1,0
OG0000032,1,1,1,1,1
OG0000033,1,1,1,1,1
OG0000034,1,1,1,1,0
OG0000035,1,1,1,0,0
OG0000036,1,1,1,1,1
OG0000037,1,1,1,1,0
OG0000038,1,1,1,0,0
OG0000039,1,1,1,0,0
OG0000040,1,1,1,1,1
OG0000041,1,1,1,0,0
OG0000042,1,1,0,0,0
OG0000043,1,1,1,1,1
OG0000044,1,1,1,0,0
OG0000045,1,1,1,1,0
OG0000046,1,1,1,1,0
OG0000047,1,1,1,0,0
OG0000048,1,1,1,1,0
OG0000049,1,1,1,1,1
OG0000050,1,1,1,1,0
OG0000051,1,1,1,1,0
OG0000052,1,1,1,1,0
OG0000053,1,1,1,1,1
OG0000054,1,1,1,1,1
OG0000055,1,1,1,1,1
OG0000056,1,1,1,1,1
OG0000057,1,1,1,0,0
OG0000058,1,1,1,1,0
OG0000059,1,1,1,0,0
OG0000060,1,1,1,1,1
OG0000061,1,1,1,1,1
OG0000062,1,1,1,1,1
OG0000063,1,1,1,1,0
OG0000064,1,1,1,1,0
OG0000065,1,1,1,1,0
OG0000066,1,1,1,1,0
OG0000067,1,1,0,1,0
OG0000068,1,1,1,1,1
OG0000069,1,1,1,1,0
OG0000070,1,1,1,1,0
OG0000071,1,1,1,0,0
OG0000072,1,1,1,0,0
OG0000074,1,1,1,1,1
OG0000075,1,1,1,0,0
OG0000076,1,1,1,1,1
OG0000078,1,1,1,1,0
OG0000079,1,1,0,0,0
OG0000083,1,1,1,1,1
OG0000085,1,1,1,1,1
OG0000086,1,0,1,1,0
OG0000087,1,1,1,0,0
OG0000088,1,1,1,1,0
OG0000090,1,1,1,1,0
OG0000093,1,1,1,0,0
OG0000094,1,1,1,0,0
OG0000095,1,1,1,1,0
OG0000096,1,1,1,1,0
OG0000097,1,1,1,1,0
OG0000098,1,1,1,1,0
OG0000099,1,1,1,1,1
OG0000100,1,1,1,1,0
OG0000101,1,1,1,1,1
OG0000102,1,1,1,1,0
OG0000103,1,0,0,0,0
OG0000104,1,1,1,1,0
OG0000106,1,1,1,1,1
OG0000107,1,1,1,1,0
OG0000111,1,1,1,0,1
OG0000113,1,1,1,1,0
OG0000115,1,1,1,1,0
OG0000116,1,1,1,1,1
OG0000117,1,1,1,1,0
OG0000118,1,1,1,1,1
OG0000119,1,1,1,0,0
OG0000121,1,1,1,1,0
OG0000123,1,1,1,1,1
OG0000124,1,1,1,1,0
OG0000126,1,1,1,1,0
OG0000128,1,0,1,0,0
OG0000130,1,1,1,1,0
OG0000132,1,1,1,1,1
OG0000133,1,1,1,0,0
OG0000134,1,1,1,1,0
OG0000135,1,1,1,1,0
OG0000136,1,1,1,1,0
OG0000138,1,1,1,1,1
OG0000141,1,1,1,1,0
OG0000142,1,1,1,1,1
OG0000143,1,1,1,1,1
OG0000144,1,1,1,1,0
OG0000145,1,1,1,1,0
OG0000146,1,1,1,1,1
OG0000147,1,1,0,0,0
OG0000148,1,1,0,0,0
OG0000149,1,1,1,1,0
OG0000151,1,1,1,1,0
OG0000152,1,1,1,1,1
OG0000153,1,1,1,0,0
OG0000154,1,1,1,0,0
OG0000155,1,1,1,1,1
OG0000156,1,1,0,0,0
OG0000157,1,1,1,1,0
OG0000158,1,1,1,1,0
OG0000159,1,1,1,0,0
OG0000160,1,1,0,0,0
OG0000161,1,1,1,1,1
OG0000163,1,1,0,0,0
OG0000164,1,1,1,1,0
OG0000165,1,1,1,0,0
OG0000166,1,1,1,1,1
OG0000171,1,1,1,1,0
OG0000172,1,1,1,1,1
OG0000173,1,1,1,1,0
OG0000174,1,1,1,1,0
OG0000175,1,1,1,1,0
OG0000176,1,1,1,1,0
OG0000177,1,1,1,1,1
OG0000178,1,1,1,1,0
OG0000179,1,1,1,0,1
